site_id,name,exploit,verdict,explanation
001,AniList,E1,yes,introspection returned schema (196 types)
001,AniList,E2,no,no GraphQL IDE served at this URL
001,AniList,E3,no,server returned generic 'Cannot query field' with no leak
001,AniList,E4,yes,server emitted 'Did you mean' hint: 'Did you mean' → 'User\\'
001,AniList,E5,no,batching rejected: object response with errors[]: No query or mutation provided. Please v
002,Bitquery,E1,no,auth gate intercepted before GraphQL layer could respond
002,Bitquery,E2,yes,IDE exposed: IDE-suggestive title ('graphql ide - blockchain data api')
002,Bitquery,E3,no,auth gate intercepted before GraphQL layer could respond
002,Bitquery,E4,no,auth gate intercepted before GraphQL layer could respond
002,Bitquery,E5,no,auth gate intercepted before GraphQL layer could respond
003,Braintree,E1,no,auth gate intercepted before GraphQL layer could respond
003,Braintree,E2,no,no GraphQL IDE served at this URL
003,Braintree,E3,no,server returned non-vuln error: errors[]: Authentication credentials are missing. Authorization header is requir
003,Braintree,E4,no,server returned non-vuln error: errors[]: Authentication credentials are missing. Authorization header is requir
003,Braintree,E5,no,batching rejected: object response with errors[]: Authentication credentials are missing.
004,Canopy (Amazon),E1,no,auth gate intercepted before GraphQL layer could respond
004,Canopy (Amazon),E2,yes,IDE exposed: GraphiQL
004,Canopy (Amazon),E3,no,auth gate intercepted before GraphQL layer could respond
004,Canopy (Amazon),E4,no,auth gate intercepted before GraphQL layer could respond
004,Canopy (Amazon),E5,no,auth gate intercepted before GraphQL layer could respond
005,Catalysis Hub,E1,yes,introspection returned schema (65 types)
005,Catalysis Hub,E2,yes,IDE exposed: GraphiQL
005,Catalysis Hub,E3,yes,verbose error response: SOURCE-LEAK: caret/snippet in message
005,Catalysis Hub,E4,yes,server emitted 'Did you mean' hint: 'Did you mean' → 'node'
005,Catalysis Hub,E5,no,response body was not JSON (likely HTML or empty)
006,Chargetrip,E1,no,auth gate intercepted before GraphQL layer could respond
006,Chargetrip,E2,yes,IDE exposed: hosted IDE (SPA — JS-rendered; URL pattern playground.chargetrip.com/)
006,Chargetrip,E3,no,auth gate intercepted before GraphQL layer could respond
006,Chargetrip,E4,no,auth gate intercepted before GraphQL layer could respond
006,Chargetrip,E5,no,auth gate intercepted before GraphQL layer could respond
007,EAN-Search,E1,no,auth gate intercepted before GraphQL layer could respond
007,EAN-Search,E2,no,host unreachable (DNS / TLS / connection error)
007,EAN-Search,E3,no,server returned non-vuln error: errors[]: Authorization failed
007,EAN-Search,E4,no,server returned non-vuln error: errors[]: Authorization failed
007,EAN-Search,E5,no,batching rejected: object response with errors[]: Invalid request
008,Contentful,E1,no,response did not match any known vulnerability or safe pattern
008,Contentful,E2,no,no GraphQL IDE served at this URL
008,Contentful,E3,no,response did not match any known vulnerability or safe pattern
008,Contentful,E4,no,response did not match any known vulnerability or safe pattern
008,Contentful,E5,no,response did not match any known vulnerability or safe pattern
009,Countries (trevorblades),E1,yes,introspection returned schema (23 types)
009,Countries (trevorblades),E2,no,no GraphQL IDE served at this URL
009,Countries (trevorblades),E3,yes,verbose error response: FRAMEWORK: GRAPHQL_VALIDATION_FAILED
009,Countries (trevorblades),E4,no,server returned generic 'Cannot query field' with no leak
009,Countries (trevorblades),E5,no,batching rejected: batching rejected: The request did not contain a valid GraphQL request
010,TravelgateX,E1,no,auth gate intercepted before GraphQL layer could respond
010,TravelgateX,E2,yes,IDE exposed: Altair
010,TravelgateX,E3,no,auth gate intercepted before GraphQL layer could respond
010,TravelgateX,E4,no,auth gate intercepted before GraphQL layer could respond
010,TravelgateX,E5,no,auth gate intercepted before GraphQL layer could respond
011,Digitransit HSL,E1,no,auth gate intercepted before GraphQL layer could respond
011,Digitransit HSL,E2,no,no GraphQL IDE served at this URL
011,Digitransit HSL,E3,no,auth gate intercepted before GraphQL layer could respond
011,Digitransit HSL,E4,no,auth gate intercepted before GraphQL layer could respond
011,Digitransit HSL,E5,no,auth gate intercepted before GraphQL layer could respond
012,EHRI,E1,yes,introspection returned schema (69 types)
012,EHRI,E2,no,no GraphQL IDE served at this URL
012,EHRI,E3,yes,"verbose error response: FRAMEWORK: FieldUndefined | ""classification"":""V | Validation error (FieldUndefined@"
012,EHRI,E4,no,server returned non-vuln error: errors[]: Validation error (FieldUndefined@[produkt]) : Field 'produkt' in type 
012,EHRI,E5,no,batching rejected: object response with errors[]: Cannot deserialize value of type `eu.eh
013,TCGdex,E1,yes,introspection returned schema (32 types)
