candidate_id,name,source,probe_url,category
C001,Buildkite,apis-guru,https://graphql.buildkite.com/,Continuous integration and deployments
C002,CommerceTools,apis-guru,https://impex.commercetools.com/graphiql,e-commerce solutions
C003,Deutsche Bahn,apis-guru,https://bahnql.herokuapp.com/graphql,Infrastructure Data; like realtime facility status; stations
C004,FaunaDB,apis-guru,https://fauna.com/blog/try-faunadbs-graphql-api,Serverless GraphQL Database
C005,Gdom,apis-guru,http://gdom.graphene-python.org/graphql,DOM Traversing and Scraping using GraphQL
C006,GraphLoc,apis-guru,https://graphloc.com,Find a geolocation of an IP address including latitude; long
C007,GraphQL Jobs,apis-guru,https://api.graphql.jobs,GraphQL jobs in modern startups
C008,Idobata,apis-guru,https://idobata.io/api,Dedicated chat for team development.
C009,melodyRepo,apis-guru,https://melody.sh/play/,Fast and reliable dependency manager for Go
C010,React Finland,apis-guru,https://api.react-finland.fi/graphql,React Finland API is built with conferences and meetups in m
C011,Saleor,apis-guru,https://demo.saleor.io/graphql/,Headless open-source E-commerce API for storefront and admin
C012,Shopify Storefront,apis-guru,https://help.shopify.com/api/storefront-graphiql,The Storefront API gives you full creative control to build 
C013,Shopify Admin,apis-guru,https://shopify-graphiql-app.shopifycloud.com/login,The Admin API is the primary way that apps and services inte
C014,SWOP,apis-guru,https://swop.cx/,GraphQL and REST foreign exchange rate API. Note: Required r
C015,Universe,apis-guru,https://www.universe.com/graphiql,Check what your friends are doing & find unique events near 
C016,Barcelona Urban Mobility API,apis-guru,https://barcelona-urban-mobility-graphql-api.netlify.app/graphql,Information about the different public transport / urban mob
C017,Câmara dos deputados Brasil,apis-guru,https://graphql-camara-deputados.herokuapp.com/,"""GraphQL api to grab the data from the brazilian deputies ch"
C018,Ghibliql,apis-guru,https://ghibliql.herokuapp.com/,"""GhibliQL is a GraphQL wrapper to the Studio Ghibli REST API"
C019,Favware's GraphQL Pokémon,apis-guru,https://graphqlpokemon.favware.tech,Query for all the Pokémon; and their abilities; moves; items
C020,MetaMate,apis-guru,https://metamate.io/blog/most-advanced-hackernews-api/,Semantic service bus example for HackerNews
C021,PokeAPI,apis-guru,https://pokeapi-graphiql.herokuapp.com/,Pokémon Data API
C022,Spacex Land,apis-guru,https://api.spacex.land/graphql/,A non official platform for SpaceX's data!
C023,Spotify,apis-guru,https://spotify-api-graphql-console.herokuapp.com/,Spotify gives you instant access to millions of songs - from
C024,Stratz,apis-guru,https://api.stratz.com/graphiql/,Dota 2 Statistics Api
C025,SWAPI,apis-guru,https://graphql.org/swapi-graphql/,Star Wars API
C026,Star-Wars-Api,apis-guru,https://swapi.skyra.pw,A fully fledged Star Wars API. Using mostly the same data so
C027,TMDB,apis-guru,https://tmdb.apps.quintero.io/,The Movie Database Wrapper
C028,A-Maze,apis-guru,https://maze.andreamazzarella.com/graphiql,[Enter the maze](https://maze.andreamazzarella.com); try to 
C029,Demotivational Quotes API,apis-guru,https://demotivation-quotes-api.herokuapp.com/graphql,Get Random Demotivational quote and its author
C030,Lucas Bento's GraphQL Pokémon,apis-guru,https://react-relay-pokemon.now.sh/#/,Get information of a Pokémon with GraphQL! (**Note**: Only h
C031,MongoDB TODO-List,apis-guru,https://todo-mongo-graphql-server.herokuapp.com/,TODO List using GraphQL and MongoDb
C032,Planets,apis-guru,https://pristine-gadget-267405.appspot.com/graphql/,Information about planets and exoplanets; including mass; ra
C033,Spotify GraphQL Server,apis-guru,https://spotify-graphql-server.herokuapp.com/,This demonstrates how to build a GraphQL server which fetche
C034,Three.js demo,apis-guru,https://jwerle.github.io/three.graphql/,Declare a Three.js program with GraphQL
C035,UFC GraphQL Server,apis-guru,https://graphql-ufc-api.now.sh/,Public UFC API turned into a GraphQL server. It's hosted by 
C036,Google directions API,apis-guru,https://directions-graphql.herokuapp.com/graphql,GraphQL wrapper for google directions API.
C037,FakeQL,apis-guru,https://fakeql.com/,GraphQL API mocking as a service.
C038,The Rick and Morty API,apis-guru,https://rickandmortyapi.com/graphql,All the Rick and Morty information.
C039,UN SDG data series API,apis-guru,http://linkedsdg.apps.officialstatistics.org/graphql/,UN SDG statistical data served via GraphQL as JSON-LD object
C040,Weather API,apis-guru,https://graphql-weather-api.herokuapp.com/,Retrieve the current weather for any given city
C041,Fake GraphQL API,apis-guru,https://mocki.io/graphql,Mock user and to do data
C042,Fruits API,apis-guru,https://fruits-api.netlify.app/graphql,Information of fruit trees of the world
C043,app.clickup.com,user-list,https://app.clickup.com/graphql,
C044,app.hubspot.com,user-list,https://app.hubspot.com/graphql,
